Title,Description,Language,Badges,Stars
prudaq,PRUDAQ is an open source 40MSPS (megasamples per second) Data Acquisition board for the Beaglebone Black/Green,Eagle,,117
realtime-help,,Python,,19
pepper.js,Pepper applications as Native Client or JavaScript,JavaScript,,323
instant-hangouts,Easily add Google+ Hangouts to any web page.,JavaScript,,186
LiquidFunPaint,,Java,,154
easy-gwt-mock,An EasyMock-like Mocking Framework for Google Web Toolkit,Java,,12
gofountain,,Go,,95
VoltAir,,C++,,317
bzip2-rpc,Experiments in converting bzip2 API to be RPC-based,C,,12
gipfeli,,C++,,104
go-circuits,,Go,,14
rpki-mgmt,,Puppet,,4
anvil-build,A parallel build system and content pipeline,Python,,54
river,,0,,3
trix-auto-complete,Plugin for autocomplete using trix editor,JavaScript,,11
MAB,R package for Multi-Armed Bandit Simulation Study,R,multi-armed-bandit,35
idris-protobuf,A partial implementation of Protocol Buffers in Idris,Idris,,27
energysimulation,,Jupyter Notebook,,70
pyrios,,Go,,55
thread-weaver,A Java framework for testing multithreaded code.,Java,,295
cwd_jmp,,Shell,,6
kratu,,JavaScript,,283
codeu_coding_assessment_b_2017,This project allows students to demonstrate their coding skills by implementing a component of a larger system.,Java,,7
coverage,,Emacs Lisp,,24
jscin,Automatically exported from code.google.com/p/jscin,JavaScript,,35
ts-gulp,,0,,2
git-annex-external-gcs,,0,,3
makerspace-emonth,,KiCad Layout,,6
paper-gui,A clone of dat.GUI using nice Polymer paper elements.,HTML,"library,gui,polymer",44
testrunner-rosemary,,Java,,2
spline,A sample app that demonstrates Android's data binding library in the context of a vector drawing application.,Java,,24
creatism,,HTML,,27
mockable_filesystem.dart,Utility library that can be used to write code that can in turn be tested with mocked files and directories.,Dart,,10
okay,,Go,,20
metaserver,EC2/NoColud-compatible metadata server,Go,"grpc-service,cloud-init,picoprod,ec2-metadata,nocloud",6
microdhcpd,DHCP server that talks GRPC,Go,"dhcp-server,grpc-service,dhcpd,picoprod",12
pubkeystore,SSH Pubkey Registry,Go,"grpc,ssh-key,grpc-service,picoprod",20
unimorph,,HTML,,19
GL-Shader-Validator,,Python,,38
light-my-piano,Teaches you to play the piano by lighting up the piano key you need to press,Python,,78
grr_go_client,,Go,,3
fury,,Go,,31
crx2app,,JavaScript,,19
concatenate.js,,JavaScript,,91
firmata.py,,Python,,20
sirius,sirius,0,,6
libkml,Reference implementation of OGC KML 2.2,C++,,86
geovelo,,JavaScript,,45
gfw-toolkit,Enterprise command-line scripts and samples for Google Apps Admin SDK.,Python,,29
googleapps-message-recall,,Python,,16
macops-MOMenu,MOMenu is a statusbar item with a plug-in architecture.,Objective-C,,46
dart2java,,Java,,56
param_runner,,Shell,,3
gde-speakersbureau,,JavaScript,,6
AppUpdateTrackerLib,,Java,,7
rustcxx,rustcxx: Using C++ from Rust made easy,Rust,,498
dualhttp,"Render your page with cached data, then fetch up-to-date data from server and update the page.",JavaScript,,20
go-webdav,,Go,,70
dorusu-js,This repository is no longer maintained. Please see https://github.com/grpc/grpc-node which is now aims to provide a pure js gRPC library as well.,JavaScript,,39
identity-toolkit-go-client,Google identity Toolkit client library for Go,Go,,56
dynamex-proto,,Protocol Buffer,,5
auto-common,,0,,4
auto-service,,0,,4
auto-factory,,0,,4
prudaq,PRUDAQ is an open source 40MSPS (megasamples per second) Data Acquisition board for the Beaglebone Black/Green,Eagle,,117
realtime-help,,Python,,19
pepper.js,Pepper applications as Native Client or JavaScript,JavaScript,,323
instant-hangouts,Easily add Google+ Hangouts to any web page.,JavaScript,,186
LiquidFunPaint,,Java,,154
easy-gwt-mock,An EasyMock-like Mocking Framework for Google Web Toolkit,Java,,12
gofountain,,Go,,95
VoltAir,,C++,,317
bzip2-rpc,Experiments in converting bzip2 API to be RPC-based,C,,12
gipfeli,,C++,,104
go-circuits,,Go,,14
rpki-mgmt,,Puppet,,4
anvil-build,A parallel build system and content pipeline,Python,,54
river,,0,,3
trix-auto-complete,Plugin for autocomplete using trix editor,JavaScript,,11
MAB,R package for Multi-Armed Bandit Simulation Study,R,multi-armed-bandit,35
idris-protobuf,A partial implementation of Protocol Buffers in Idris,Idris,,27
energysimulation,,Jupyter Notebook,,70
pyrios,,Go,,55
thread-weaver,A Java framework for testing multithreaded code.,Java,,295
cwd_jmp,,Shell,,6
kratu,,JavaScript,,283
codeu_coding_assessment_b_2017,This project allows students to demonstrate their coding skills by implementing a component of a larger system.,Java,,7
coverage,,Emacs Lisp,,24
jscin,Automatically exported from code.google.com/p/jscin,JavaScript,,35
ts-gulp,,0,,2
git-annex-external-gcs,,0,,3
makerspace-emonth,,KiCad Layout,,6
paper-gui,A clone of dat.GUI using nice Polymer paper elements.,HTML,"library,gui,polymer",44
testrunner-rosemary,,Java,,2
spline,A sample app that demonstrates Android's data binding library in the context of a vector drawing application.,Java,,24
creatism,,HTML,,27
mockable_filesystem.dart,Utility library that can be used to write code that can in turn be tested with mocked files and directories.,Dart,,10
okay,,Go,,20
metaserver,EC2/NoColud-compatible metadata server,Go,"grpc-service,cloud-init,picoprod,ec2-metadata,nocloud",6
microdhcpd,DHCP server that talks GRPC,Go,"dhcp-server,grpc-service,dhcpd,picoprod",12
pubkeystore,SSH Pubkey Registry,Go,"grpc,ssh-key,grpc-service,picoprod",20
unimorph,,HTML,,19
GL-Shader-Validator,,Python,,38
light-my-piano,Teaches you to play the piano by lighting up the piano key you need to press,Python,,78
grr_go_client,,Go,,3
fury,,Go,,31
dcm-video-uploader,Python script to upload video creatives to DCM. The script creates the necessary structure under a provided DCM placement to target each video to a different geo location. One use case is creating dynamic video campaigns,Python,,7
TouchTime,Tells the time through vibration patterns on an Android smartwatch.,Java,,37
uniflow-polymer,UniFlow for Polymer,HTML,"polymer,mixins,unidirectional-data-flow",167
rally,,Java,,34
teknowledge,A basic CS curriculum for coding in Python.,Python,"science,computer,cs,cs-education,curriculum",26
clerk,Clerk is an open-source IPFIX generator using https://github.com/google/testimony for packet sniffing,C++,,34
ahdlc,,C,,11
aperture_supervision,,Python,,28
YetAnotherChatApp,,Java,,8
grittibanzli,,C++,,21
ds-trix-addon,,JavaScript,,13
hat-backup,Backend-agnostic snapshotting backup system,Rust,,251
angular-sticky-element,,TypeScript,,20
vae-seq,Variational Auto-Encoders in a Sequential Setting.,Python,"machine-learning,rnn,vae,generative-models,sequential-models",156
cloud-cup,,JavaScript,,21
cloud-cup-android,Firebase Android client of the a multi device game,Java,,47
fest,,Apache-2.0,,8
decoupled_gaussian_process,,Python,,18
safevarargs,,,,5
opentest,,0,,2
encrypted-bigquery-client,An experimental version of the BQ client which adds client-side encryption,Python,,170
rbe-integration-test,,Python,,4
chained-promise,Functional programming tools for recurring promises,TypeScript,,52
synergyfinderengineered,,R,,6
amp-client-id-library,,JavaScript,,9
go-trace,,Go,,27
hell0world-curriculum,Curriculum for hell0world.org classes,HTML,education,5
intelligent_annotation_dialogs,,Jupyter Notebook,,26
cornerstoneMath,Math and computation geometry functionality for cornerstone,JavaScript,,4
burst-denoising,,Python,,231
crx2app,,JavaScript,,19
concatenate.js,,JavaScript,,91
firmata.py,,Python,,20
sirius,sirius,0,,6
libkml,Reference implementation of OGC KML 2.2,C++,,86
geovelo,,JavaScript,,45
gfw-toolkit,Enterprise command-line scripts and samples for Google Apps Admin SDK.,Python,,29
googleapps-message-recall,,Python,,16
macops-MOMenu,MOMenu is a statusbar item with a plug-in architecture.,Objective-C,,46
dart2java,,Java,,56
param_runner,,Shell,,3
gde-speakersbureau,,JavaScript,,6
AppUpdateTrackerLib,,Java,,7
rustcxx,rustcxx: Using C++ from Rust made easy,Rust,,498
dualhttp,"Render your page with cached data, then fetch up-to-date data from server and update the page.",JavaScript,,20
go-webdav,,Go,,70
dorusu-js,This repository is no longer maintained. Please see https://github.com/grpc/grpc-node which is now aims to provide a pure js gRPC library as well.,JavaScript,,39
identity-toolkit-go-client,Google identity Toolkit client library for Go,Go,,56
dynamex-proto,,Protocol Buffer,,5
auto-common,,0,,4
auto-service,,0,,4
auto-factory,,0,,4
prudaq,PRUDAQ is an open source 40MSPS (megasamples per second) Data Acquisition board for the Beaglebone Black/Green,Eagle,,117
realtime-help,,Python,,19
pepper.js,Pepper applications as Native Client or JavaScript,JavaScript,,323
instant-hangouts,Easily add Google+ Hangouts to any web page.,JavaScript,,186
LiquidFunPaint,,Java,,154
easy-gwt-mock,An EasyMock-like Mocking Framework for Google Web Toolkit,Java,,12
gofountain,,Go,,95
VoltAir,,C++,,317
bzip2-rpc,Experiments in converting bzip2 API to be RPC-based,C,,12
gipfeli,,C++,,104
go-circuits,,Go,,14
rpki-mgmt,,Puppet,,4
anvil-build,A parallel build system and content pipeline,Python,,54
river,,0,,3
trix-auto-complete,Plugin for autocomplete using trix editor,JavaScript,,11
MAB,R package for Multi-Armed Bandit Simulation Study,R,multi-armed-bandit,35
idris-protobuf,A partial implementation of Protocol Buffers in Idris,Idris,,27
energysimulation,,Jupyter Notebook,,70
pyrios,,Go,,55
thread-weaver,A Java framework for testing multithreaded code.,Java,,295
cwd_jmp,,Shell,,6
kratu,,JavaScript,,283
codeu_coding_assessment_b_2017,This project allows students to demonstrate their coding skills by implementing a component of a larger system.,Java,,7
coverage,,Emacs Lisp,,24
jscin,Automatically exported from code.google.com/p/jscin,JavaScript,,35
ts-gulp,,0,,2
git-annex-external-gcs,,0,,3
makerspace-emonth,,KiCad Layout,,6
paper-gui,A clone of dat.GUI using nice Polymer paper elements.,HTML,"library,gui,polymer",44
testrunner-rosemary,,Java,,2
spline,A sample app that demonstrates Android's data binding library in the context of a vector drawing application.,Java,,24
creatism,,HTML,,27
mockable_filesystem.dart,Utility library that can be used to write code that can in turn be tested with mocked files and directories.,Dart,,10
okay,,Go,,20
metaserver,EC2/NoColud-compatible metadata server,Go,"grpc-service,cloud-init,picoprod,ec2-metadata,nocloud",6
microdhcpd,DHCP server that talks GRPC,Go,"dhcp-server,grpc-service,dhcpd,picoprod",12
pubkeystore,SSH Pubkey Registry,Go,"grpc,ssh-key,grpc-service,picoprod",20
unimorph,,HTML,,19
GL-Shader-Validator,,Python,,38
light-my-piano,Teaches you to play the piano by lighting up the piano key you need to press,Python,,78
grr_go_client,,Go,,3
fury,,Go,,31
dcm-video-uploader,Python script to upload video creatives to DCM. The script creates the necessary structure under a provided DCM placement to target each video to a different geo location. One use case is creating dynamic video campaigns,Python,,7
TouchTime,Tells the time through vibration patterns on an Android smartwatch.,Java,,37
uniflow-polymer,UniFlow for Polymer,HTML,"polymer,mixins,unidirectional-data-flow",167
rally,,Java,,34
teknowledge,A basic CS curriculum for coding in Python.,Python,"science,computer,cs,cs-education,curriculum",26
clerk,Clerk is an open-source IPFIX generator using https://github.com/google/testimony for packet sniffing,C++,,34
ahdlc,,C,,11
aperture_supervision,,Python,,28
YetAnotherChatApp,,Java,,8
grittibanzli,,C++,,21
ds-trix-addon,,JavaScript,,13
hat-backup,Backend-agnostic snapshotting backup system,Rust,,251
angular-sticky-element,,TypeScript,,20
vae-seq,Variational Auto-Encoders in a Sequential Setting.,Python,"machine-learning,rnn,vae,generative-models,sequential-models",156
cloud-cup,,JavaScript,,21
cloud-cup-android,Firebase Android client of the a multi device game,Java,,47
fest,,Apache-2.0,,8
decoupled_gaussian_process,,Python,,18
safevarargs,,,,5
opentest,,0,,2
encrypted-bigquery-client,An experimental version of the BQ client which adds client-side encryption,Python,,170
rbe-integration-test,,Python,,4
chained-promise,Functional programming tools for recurring promises,TypeScript,,52
synergyfinderengineered,,R,,6
amp-client-id-library,,JavaScript,,9
go-trace,,Go,,27
hell0world-curriculum,Curriculum for hell0world.org classes,HTML,education,5
intelligent_annotation_dialogs,,Jupyter Notebook,,26
cornerstoneMath,Math and computation geometry functionality for cornerstone,JavaScript,,4
burst-denoising,,Python,,231
viai-sdk,An SDK for Google Cloud's Visual Inspection AI product.,Python,"google,sdk,ai,google-cloud,sdk-python",4
drive-file-search-fix,,JavaScript,,2
skywater-pdk-ip-sky90fd_fd_ip_sram,SRAM build space for SKY90FD provided by SkyWater.,Apache-2.0,"asic,hardware,eda,sram,ic,silicon,integrated-circuits",7
skywater-pdk-libs-sky90fd_fd_io,IO and periphery cells for SKY90FD provided by SkyWater.,Apache-2.0,"asic,hardware,eda,io,ic,silicon,integrated-circuits",3
skywater-pdk-libs-sky90fd_fd_pr,Primitives for SKY90FD provided by SkyWater.,Apache-2.0,"magic,asic,hardware,spice,ic,klayout,silicon",3
skywater-pdk-libs-sky90fd_fd_sc,Standard cells for SKY90FD provided by SkyWater.,Apache-2.0,"asic,hardware,eda,ic,silicon,integrated-circuits,openroad",3
skywater-pdk-libs-sky90fd_osu_sc,Standard cells for SKY90FD provided by Oklahoma State University.,Apache-2.0,"asic,hardware,eda,osu,ic,silicon,integrated-circuits",3
intellij-gn-plugin,,Kotlin,,9
vim-codefmt,Vim plugin for syntax-aware code formatting,Vim Script,"js-beautify,clang-format,vim,formatter",1001
eleventy-high-performance-blog,A high performance blog template for the 11ty static site generator.,JavaScript,"eleventy,11ty,11ty-template",3718
UIforETW,User interface for recording and managing ETW traces,C++,,1295
dart-neats,neat dart packages.,Dart,dart,319
one-weird-trick,,Jupyter Notebook,,13
lldb-eval,lldb-eval is a library for evaluating expressions in the debugger context,C++,"clang,expression-evaluator,debugging-tool,lldb",52
argon,Campaign Manager 360 and Display & Video 360 Reports to BigQuery connector,TypeScript,"cloud-functions,dv360,cloud-scheduler,cm360,bigquery,gcp,google-cloud",31
pmax_migration,,Python,,1
ngx_token_binding,NGINX module for Token Binding,C,,42
openrtb-doubleclick,"Utilities for DoubleClick Ad Exchange, including OpenRTB mapping, DoubleClick cryptography, metadata and validation",Java,,191
tuple.dart,A library providing a tuple data structure,Dart,,164
openrtb,OpenRTB model for Java and other languages via protobuf; Helper OpenRTB libraries for Java including JSON serialization,Java,,380
deepmac,Project website for https://git.io/deepmac.,HTML,,2
flutter.plugins,,Dart,,115
robotstxt-java,,Java,,31
shoptimizer,,Python,,31
stable-retraining-conversational-agents,,0,,0
ngx_brotli,NGINX module for Brotli compression,C,,1747
go-pcie-tlp,Builds and parses PCIe Transport Layer Packets (TLPs),Go,,12
cad_campaign_anomaly_detector,,JavaScript,,5
attention-center,,Python,,16
visqol,Perceptual Quality Estimator for speech and audio,C++,,368
crx2app,,JavaScript,,19
concatenate.js,,JavaScript,,91
firmata.py,,Python,,20
sirius,sirius,0,,6
libkml,Reference implementation of OGC KML 2.2,C++,,86
geovelo,,JavaScript,,45
gfw-toolkit,Enterprise command-line scripts and samples for Google Apps Admin SDK.,Python,,29
googleapps-message-recall,,Python,,16
macops-MOMenu,MOMenu is a statusbar item with a plug-in architecture.,Objective-C,,46
dart2java,,Java,,56
param_runner,,Shell,,3
gde-speakersbureau,,JavaScript,,6
AppUpdateTrackerLib,,Java,,7
rustcxx,rustcxx: Using C++ from Rust made easy,Rust,,498
dualhttp,"Render your page with cached data, then fetch up-to-date data from server and update the page.",JavaScript,,20
go-webdav,,Go,,70
dorusu-js,This repository is no longer maintained. Please see https://github.com/grpc/grpc-node which is now aims to provide a pure js gRPC library as well.,JavaScript,,39
identity-toolkit-go-client,Google identity Toolkit client library for Go,Go,,56
dynamex-proto,,Protocol Buffer,,5
auto-common,,0,,4
auto-service,,0,,4
auto-factory,,0,,4
prudaq,PRUDAQ is an open source 40MSPS (megasamples per second) Data Acquisition board for the Beaglebone Black/Green,Eagle,,117
realtime-help,,Python,,19
pepper.js,Pepper applications as Native Client or JavaScript,JavaScript,,323
instant-hangouts,Easily add Google+ Hangouts to any web page.,JavaScript,,186
LiquidFunPaint,,Java,,154
easy-gwt-mock,An EasyMock-like Mocking Framework for Google Web Toolkit,Java,,12
gofountain,,Go,,95
VoltAir,,C++,,317
bzip2-rpc,Experiments in converting bzip2 API to be RPC-based,C,,12
gipfeli,,C++,,104
go-circuits,,Go,,14
rpki-mgmt,,Puppet,,4
anvil-build,A parallel build system and content pipeline,Python,,54
river,,0,,3
trix-auto-complete,Plugin for autocomplete using trix editor,JavaScript,,11
MAB,R package for Multi-Armed Bandit Simulation Study,R,multi-armed-bandit,35
idris-protobuf,A partial implementation of Protocol Buffers in Idris,Idris,,27
energysimulation,,Jupyter Notebook,,70
pyrios,,Go,,55
thread-weaver,A Java framework for testing multithreaded code.,Java,,295
cwd_jmp,,Shell,,6
kratu,,JavaScript,,283
codeu_coding_assessment_b_2017,This project allows students to demonstrate their coding skills by implementing a component of a larger system.,Java,,7
coverage,,Emacs Lisp,,24
jscin,Automatically exported from code.google.com/p/jscin,JavaScript,,35
ts-gulp,,0,,2
git-annex-external-gcs,,0,,3
makerspace-emonth,,KiCad Layout,,6
paper-gui,A clone of dat.GUI using nice Polymer paper elements.,HTML,"library,gui,polymer",44
testrunner-rosemary,,Java,,2
spline,A sample app that demonstrates Android's data binding library in the context of a vector drawing application.,Java,,24
creatism,,HTML,,27
mockable_filesystem.dart,Utility library that can be used to write code that can in turn be tested with mocked files and directories.,Dart,,10
okay,,Go,,20
metaserver,EC2/NoColud-compatible metadata server,Go,"grpc-service,cloud-init,picoprod,ec2-metadata,nocloud",6
microdhcpd,DHCP server that talks GRPC,Go,"dhcp-server,grpc-service,dhcpd,picoprod",12
pubkeystore,SSH Pubkey Registry,Go,"grpc,ssh-key,grpc-service,picoprod",20
unimorph,,HTML,,19
GL-Shader-Validator,,Python,,38
light-my-piano,Teaches you to play the piano by lighting up the piano key you need to press,Python,,78
grr_go_client,,Go,,3
fury,,Go,,31
dcm-video-uploader,Python script to upload video creatives to DCM. The script creates the necessary structure under a provided DCM placement to target each video to a different geo location. One use case is creating dynamic video campaigns,Python,,7
TouchTime,Tells the time through vibration patterns on an Android smartwatch.,Java,,37
uniflow-polymer,UniFlow for Polymer,HTML,"polymer,mixins,unidirectional-data-flow",167
rally,,Java,,34
teknowledge,A basic CS curriculum for coding in Python.,Python,"science,computer,cs,cs-education,curriculum",26
clerk,Clerk is an open-source IPFIX generator using https://github.com/google/testimony for packet sniffing,C++,,34
ahdlc,,C,,11
aperture_supervision,,Python,,28
YetAnotherChatApp,,Java,,8
grittibanzli,,C++,,21
ds-trix-addon,,JavaScript,,13
hat-backup,Backend-agnostic snapshotting backup system,Rust,,251
angular-sticky-element,,TypeScript,,20
vae-seq,Variational Auto-Encoders in a Sequential Setting.,Python,"machine-learning,rnn,vae,generative-models,sequential-models",156
cloud-cup,,JavaScript,,21
cloud-cup-android,Firebase Android client of the a multi device game,Java,,47
fest,,Apache-2.0,,8
decoupled_gaussian_process,,Python,,18
safevarargs,,,,5
opentest,,0,,2
encrypted-bigquery-client,An experimental version of the BQ client which adds client-side encryption,Python,,170
rbe-integration-test,,Python,,4
chained-promise,Functional programming tools for recurring promises,TypeScript,,52
synergyfinderengineered,,R,,6
amp-client-id-library,,JavaScript,,9
go-trace,,Go,,27
hell0world-curriculum,Curriculum for hell0world.org classes,HTML,education,5
intelligent_annotation_dialogs,,Jupyter Notebook,,26
cornerstoneMath,Math and computation geometry functionality for cornerstone,JavaScript,,4
burst-denoising,,Python,,231
viai-sdk,An SDK for Google Cloud's Visual Inspection AI product.,Python,"google,sdk,ai,google-cloud,sdk-python",4
drive-file-search-fix,,JavaScript,,2
skywater-pdk-ip-sky90fd_fd_ip_sram,SRAM build space for SKY90FD provided by SkyWater.,Apache-2.0,"asic,hardware,eda,sram,ic,silicon,integrated-circuits",7
skywater-pdk-libs-sky90fd_fd_io,IO and periphery cells for SKY90FD provided by SkyWater.,Apache-2.0,"asic,hardware,eda,io,ic,silicon,integrated-circuits",3
skywater-pdk-libs-sky90fd_fd_pr,Primitives for SKY90FD provided by SkyWater.,Apache-2.0,"magic,asic,hardware,spice,ic,klayout,silicon",3
skywater-pdk-libs-sky90fd_fd_sc,Standard cells for SKY90FD provided by SkyWater.,Apache-2.0,"asic,hardware,eda,ic,silicon,integrated-circuits,openroad",3
skywater-pdk-libs-sky90fd_osu_sc,Standard cells for SKY90FD provided by Oklahoma State University.,Apache-2.0,"asic,hardware,eda,osu,ic,silicon,integrated-circuits",3
intellij-gn-plugin,,Kotlin,,9
vim-codefmt,Vim plugin for syntax-aware code formatting,Vim Script,"js-beautify,clang-format,vim,formatter",1001
eleventy-high-performance-blog,A high performance blog template for the 11ty static site generator.,JavaScript,"eleventy,11ty,11ty-template",3718
UIforETW,User interface for recording and managing ETW traces,C++,,1295
dart-neats,neat dart packages.,Dart,dart,319
one-weird-trick,,Jupyter Notebook,,13
lldb-eval,lldb-eval is a library for evaluating expressions in the debugger context,C++,"clang,expression-evaluator,debugging-tool,lldb",52
argon,Campaign Manager 360 and Display & Video 360 Reports to BigQuery connector,TypeScript,"cloud-functions,dv360,cloud-scheduler,cm360,bigquery,gcp,google-cloud",31
pmax_migration,,Python,,1
ngx_token_binding,NGINX module for Token Binding,C,,42
openrtb-doubleclick,"Utilities for DoubleClick Ad Exchange, including OpenRTB mapping, DoubleClick cryptography, metadata and validation",Java,,191
tuple.dart,A library providing a tuple data structure,Dart,,164
openrtb,OpenRTB model for Java and other languages via protobuf; Helper OpenRTB libraries for Java including JSON serialization,Java,,380
deepmac,Project website for https://git.io/deepmac.,HTML,,2
flutter.plugins,,Dart,,115
robotstxt-java,,Java,,31
shoptimizer,,Python,,31
stable-retraining-conversational-agents,,0,,0
ngx_brotli,NGINX module for Brotli compression,C,,1747
go-pcie-tlp,Builds and parses PCIe Transport Layer Packets (TLPs),Go,,12
cad_campaign_anomaly_detector,,JavaScript,,5
attention-center,,Python,,16
visqol,Perceptual Quality Estimator for speech and audio,C++,,368
mobly,E2E test framework for tests with complex environment requirements.,Python,"android,testing,windows,automation,google,mobile,networking",529
cross-device-sdk,The Cross device SDK allows developers to build rich multi-device experiences with a simple and intuitive set of APIs,Kotlin,"api,google,cross-device,better-together,multi-device-toolkit",39
empirical_calibration,,Jupyter Notebook,,27
moveit,,Rust,,127
crystalvalue,,Python,,9
macops,"Utilities, tools, and scripts for managing and tracking a fleet of Macintoshes in a corporate environment",Python,,793
macops-molcodesignchecker,Simple Objective-C code signature validation,Objective-C,,27
schemaorg-java,Java utilities for working with Schema.org data in JSON-LD format,Java,,65
oss-policies-info,,Apache-2.0,,3
floody,,Java,,1
devx-tools,Tools at Google for mobile development and testing,Go,,60
jax-md,"Differentiable, Hardware Accelerated, Molecular Dynamics",Jupyter Notebook,,807
globalfoundries-pdk-libs-gf180mcu_fd_io,IO and periphery cells for the GF180MCU provided by GlobalFoundries.,Verilog,"asic,eda,io,pdk,openroad,180nm,globalfoundries",11
github-sandbox,,Apache-2.0,,2
GTXiLib,Google Toolbox for Accessibility for iOS,Objective-C,"ios,automation,accessibility,accessibility-testing,accessibility-automation",205
wire,Compile-time Dependency Injection for Go,Go,"go,golang,codegen,initialization,dependency-injection",9150
crumsort-rs,A parallelized Rust port of crumsort,Rust,,18
sqlcommenter-laravel-php,,PHP,,4
plb,,Apache-2.0,,10
deluca,"Performant, differentiable reinforcement learning",Python,,112
compass,,Jupyter Notebook,,20
fscryptctl,Small C tool for Linux filesystem encryption,C,"c,cryptography,filesystem,ext4-filesystem,filesystem-encryption",83
material-design-lite,Material Design Components in HTML/CSS/JS,HTML,"material-design,material-design-lite,material,material-components,mdl",32097
lkml-gerrit-bridge,,Python,,3
exposure-notifications-android,Exposure Notifications Android Reference Design,Java,"android,covid-19",528
plusfish,Plusfish is a classic web application vulnerability scanner/fuzzer and aimed at security professionals,C++,"security,crawler,security-scanner,security-tools,web-application-security,web-application-security-scanner,scanner",17
semantic-locators,,JavaScript,,38
built_collection.dart,Immutable Dart collections via the builder pattern.,Dart,,244
fuchsiaware,,TypeScript,,15
packetdrill,The official Google release of packetdrill,C,,740
crx2app,,JavaScript,,19
concatenate.js,,JavaScript,,91
firmata.py,,Python,,20
sirius,sirius,0,,6
libkml,Reference implementation of OGC KML 2.2,C++,,86
geovelo,,JavaScript,,45
gfw-toolkit,Enterprise command-line scripts and samples for Google Apps Admin SDK.,Python,,29
googleapps-message-recall,,Python,,16
macops-MOMenu,MOMenu is a statusbar item with a plug-in architecture.,Objective-C,,46
dart2java,,Java,,56
param_runner,,Shell,,3
gde-speakersbureau,,JavaScript,,6
AppUpdateTrackerLib,,Java,,7
rustcxx,rustcxx: Using C++ from Rust made easy,Rust,,498
dualhttp,"Render your page with cached data, then fetch up-to-date data from server and update the page.",JavaScript,,20
go-webdav,,Go,,70
dorusu-js,This repository is no longer maintained. Please see https://github.com/grpc/grpc-node which is now aims to provide a pure js gRPC library as well.,JavaScript,,39
identity-toolkit-go-client,Google identity Toolkit client library for Go,Go,,56
dynamex-proto,,Protocol Buffer,,5
auto-common,,0,,4
auto-service,,0,,4
auto-factory,,0,,4
prudaq,PRUDAQ is an open source 40MSPS (megasamples per second) Data Acquisition board for the Beaglebone Black/Green,Eagle,,117
realtime-help,,Python,,19
pepper.js,Pepper applications as Native Client or JavaScript,JavaScript,,323
instant-hangouts,Easily add Google+ Hangouts to any web page.,JavaScript,,186
LiquidFunPaint,,Java,,154
